Epoch: 54/20000, Action: (6, 1), Score: -2002, Tetrominoes 20, Cleared lines: 0, Loss: 1625.917236328125
Epoch: 55/20000, Action: (6, 1), Score: -1852, Tetrominoes 23, Cleared lines: 0, Loss: 2084.590576171875
Epoch: 56/20000, Action: (5, 0), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1694.6197509765625
Epoch: 57/20000, Action: (7, 1), Score: -1772, Tetrominoes 24, Cleared lines: 0, Loss: 2037.248046875
Epoch: 58/20000, Action: (8, 0), Score: -1662, Tetrominoes 28, Cleared lines: 0, Loss: 1396.22412109375
Epoch: 59/20000, Action: (4, 2), Score: -1352, Tetrominoes 33, Cleared lines: 0, Loss: 1605.0606689453125
Epoch: 60/20000, Action: (10, 0), Score: -1752, Tetrominoes 25, Cleared lines: 0, Loss: 1844.548828125
Epoch: 61/20000, Action: (6, 1), Score: -1782, Tetrominoes 24, Cleared lines: 0, Loss: 1934.968017578125
Epoch: 62/20000, Action: (8, 1), Score: -1762, Tetrominoes 25, Cleared lines: 0, Loss: 2006.162109375
Epoch: 63/20000, Action: (8, 0), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1283.5692138671875
Epoch: 64/20000, Action: (7, 1), Score: -1702, Tetrominoes 26, Cleared lines: 0, Loss: 2194.04150390625
Epoch: 65/20000, Action: (9, 0), Score: -1342, Tetrominoes 34, Cleared lines: 0, Loss: 1406.611083984375
Epoch: 66/20000, Action: (4, 3), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1506.1243896484375
Epoch: 67/20000, Action: (10, 1), Score: -1922, Tetrominoes 23, Cleared lines: 0, Loss: 1235.802734375
Epoch: 68/20000, Action: (6, 0), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1462.351806640625
Epoch: 69/20000, Action: (7, 2), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1813.308837890625
Epoch: 70/20000, Action: (12, 0), Score: -1902, Tetrominoes 23, Cleared lines: 0, Loss: 1958.4029541015625
Epoch: 71/20000, Action: (10, 2), Score: -1932, Tetrominoes 22, Cleared lines: 0, Loss: 1819.3603515625
Epoch: 72/20000, Action: (7, 1), Score: -1882, Tetrominoes 22, Cleared lines: 0, Loss: 1375.72900390625
Epoch: 73/20000, Action: (5, 3), Score: -2302, Tetrominoes 14, Cleared lines: 0, Loss: 1449.1353759765625
Epoch: 74/20000, Action: (11, 0), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 1165.9012451171875
Epoch: 75/20000, Action: (7, 0), Score: -1952, Tetrominoes 21, Cleared lines: 0, Loss: 1606.885009765625
Epoch: 76/20000, Action: (5, 0), Score: -1732, Tetrominoes 25, Cleared lines: 0, Loss: 1456.67578125
